,antibody,widltype,Hchain,lchain,Rchain,crystal,receptor
29283,C121,1,E,G,A,7k8x,wuhu-1
29299,C135,1,H,L,A,7k8z,wuhu-1
29315,C144,1,H,L,B,7k90,wuhu-1
40935,47D11,1,H,L,B,7akd,wuhu-1
40951,S2K146,1,H,L,E,7tas,wuhu-1
46794,2B04,1,H,L,A,7k9i,wuhu-1
48827,BD-604,1,H,L,R,7ch4,wuhu-1
48843,COVOX-150,1,H,L,E,7bei,wuhu-1
49119,BD55-3152,1,A,B,F,7wr9,wuhu-1
49121,C119,1,H,L,A,7k8w,wuhu-1
49122,CA521,1,B,C,A,7.00E+23,wuhu-1
49125,COVOX-384,1,A,B,E,7bep,wuhu-1
49129,DH1042,1,H,L,C,7tht,wuhu-1
49130,DH1043,1,S,T,A,7ljr,wuhu-1
49185,1-57,1,H,L,A,7ls9,wuhu-1
49190,BD-368,1,A,B,R,7chf,wuhu-1
49385,S2M11,1,H,L,A,7k43,wuhu-1
49539,CV05-163,1,H,L,Z,7lop,wuhu-1
49559,BD-623,1,A,B,R,7e7y,wuhu-1
49561,COVA1-16,1,H,L,A,7s5r,wuhu-1
49568,COVOX-88,1,H,L,C,7nd4,wuhu-1
49940,H4,1,H,L,B,7l58,wuhu-1
49964,BG1-24,1,M,N,A,7m6i,wuhu-1
49967,BG4-25,1,H,L,C,7m6d,wuhu-1
49976,C1A-F10,1,H,L,A,7kfy,wuhu-1
50761,DH1047,1,M,N,C,7ld1,wuhu-1
51284,CC12.3,1,H,L,A,7kn6,wuhu-1
51578,LY-CoV488,1,A,B,C,7kmh,wuhu-1
51585,P2B-1A10,1,H,K,A,7czq,wuhu-1
51592,P5A-2G9,1,H,L,A,7czt,wuhu-1
51648,CC12.1,1,H,L,A,8cwv,wuhu-1
51680,LY-CoV481,1,A,B,C,7kmi,wuhu-1
51696,B38,1,H,L,A,7bz5,wuhu-1
51699,BD-236,1,H,L,R,7chb,wuhu-1
51711,COVOX-269,1,H,L,E,7neh,wuhu-1
51790,CV30,1,H,L,E,6xe1,wuhu-1
52033,C102,1,A,B,E,7k8m,wuhu-1
52052,C1A-B12,1,H,L,A,7kfv,wuhu-1
52070,C1A-B3,1,H,L,A,7kfw,wuhu-1
52089,C1A-C2,1,H,L,A,7kfx,wuhu-1
52331,P5A-3A1,1,H,L,A,7d0c,wuhu-1
52396,BRII-196,1,H,L,E,7cdi,wuhu-1
52531,BD-503,1,H,L,R,7ejy,wuhu-1
53065,BG7-15,1,H,L,B,7m6g,wuhu-1
53137,COVOX-75,1,A,B,R,7beo,wuhu-1
53860,CV07-270,1,H,L,A,6xkp,wuhu-1
55221,2月15日,1,H,L,A,7l5b,wuhu-1
55263,P2C-1A3,1,H,L,E,7cdj,wuhu-1
55580,15033,1,H,L,A,7klg,wuhu-1
55813,DH1041,1,H,L,A,7laa,wuhu-1
55860,P17,1,H,L,A,7cwo,wuhu-1
56016,BG7-20,1,D,E,C,7m6h,wuhu-1
56301,AZD8895,1,H,L,E,7l7d,wuhu-1
56557,CV07-287,1,B,C,A,7s5r,wuhu-1
56756,COVOX-253H165L,1,H,L,B,7ndb ,wuhu-1
56764,COVOX-253H55L,1,H,L,R,7beo,wuhu-1
60717,XGv-289,1,C,L,E,7wef,BA.1
60756,BD-629,1,H,L,R,7ch5,BA.1
60816,COVOX-45,1,A,B,R,7bel,BA.1
60880,EY6A,1,H,L,E,6zfo,BA.1
61327,BD-218,1,H,L,B,8gnh,BA.1
62067,S2A4,1,H,L,A,7jva,BA.1
63062,ADG-2,1,H,L,A,7u2d,BA.1
